28803167,29708599,30696958,31731688,32758020,33736494,34656032
2913021,2905195,2900401,2895092,2889104,2880703,2876101
36117637,36819558,37565847,38338562,39113313,39871528,40606052
55637,55320,55230,55307,55437,55537,55599
84449,83751,82431,80788,79223,78014,77281
23369131,24218565,25096150,25998340,26920466,27859305,28813463
94661,95719,96777,97824,98875,99923,100963
356508908,364895878,373306993,381702086,390043028,398304960,406452690
41223889,41656879,42096739,42539925,42981515,43417765,43847430
2877311,2875581,2881922,2893509,2906220,2916950,2924816
101669,102053,102577,103187,103795,104341,104822
22031750,22340024,22728254,23117353,23460694,23789338,24127159
8363404,8391643,8429991,8479375,8541575,8633169,8747358
9054332,9173082,9295784,9416801,9535079,9649341,9762274
360832,366568,372039,377240,382169,386838,391232
1240862,1278269,1300217,1315411,1336397,1371855,1425171
152149102,153911916,155727053,157571292,159405279,161200886,162951560
279569,280601,281585,282509,283385,284217,284996
9490583,9473172,9464495,9465997,9474511,9489616,9507120
10895586,11047744,11128246,11182817,11209057,11274196,11348159
321608,329192,336701,344181,351694,359288,366954
9199259,9460802,9729160,10004451,10286712,10575952,10872298
65124,64564,64798,65001,65139,65235,65331
727641,740510,752967,764961,776448,787386,797765
9918242,10078343,10239004,10400264,10562159,10724705,10887882
3722084,3688865,3648200,3604999,3566002,3535961,3516816
2014866,2051339,2089315,2128507,2168573,2209197,2250260
196796269,198686688,200560983,202408632,204213133,205962108,207652865
27224,27901,28509,29056,29588,30113,30661
388662,394013,399748,405716,411704,417542,423196
7395599,7348328,7305888,7265115,7223938,7177991,7127822
15605217,16081904,16571216,17072723,17585977,18110624,18646433
8766930,9043508,9319710,9600186,9891790,10199270,10524117
502384,508067,513979,520106,526437,532913,539560
14308740,14537886,14776866,15022692,15270790,15517635,15762370
19970495,20520447,21082383,21655715,22239904,22834522,23439189
34005274,34342780,34750545,35155451,35544564,35848610,36286425
6984096,7029022,7074129,7118888,7162679,7204948,7245472
55507,56579,57523,58371,59172,59963,60765
4448525,4476153,4490416,4499653,4515392,4546100,4594621
104543801,104174038,103935318,103713726,103496179,103257751,102974082
11887202,12288651,12705135,13133589,13569438,14009413,14452543
159581,160497,161358,162180,162969,163758,164541
16993354,17153357,17309746,17462982,17613798,17762681,17909754
1337705000,1344130000,1350695000,1357380000,1364270000,1371220000,1378665000
45918097,46406646,46881475,47342981,47791911,48228697,48653419
689692,706569,723868,741500,759385,777424,795601
64523263,66713597,68978682,71316033,73722860,76196619,78736153
4386693,4512730,4633363,4751393,4871101,4995648,5125821
4545280,4600474,4654122,4706401,4757575,4807852,4857274
20401331,20895311,21418603,21966312,22531350,23108472,23695919
4417781,4280622,4267558,4255689,4238389,4203604,4170600
11333051,11354651,11382146,11412167,11439767,11461432,11475982
148703,150831,152088,153822,155909,157979,159999
1112607,1124835,1135062,1143896,1152309,1160985,1170125
10474410,10496088,10510785,10514272,10525347,10546059,10561633
5547683,5570572,5591572,5614932,5643475,5683483,5731118
851146,865937,881185,896688,912164,927414,942333
71440,71718,72044,72400,72778,73162,73543
9897985,10027095,10154950,10281296,10405844,10528394,10648791
2908808244,2952873719,2996573424,3040240927,3083836359,3127290268,3170542188
2205614879,2220357890,2235430359,2250552199,2265898057,2281203360,2296786207
1964712066,1978748181,1993029442,2007455695,2022042176,2036573886,2051452657
1940064830,1953970563,1968120178,1982414412,1996870376,2011274432,2026028438
14934690,15177355,15419666,15661547,15903112,16144368,16385068
84107606,85897561,87813257,89807433,91812566,93778172,95688681
6164626,6192560,6221246,6250777,6281189,6312478,6344722
951104,994290,1038593,1083746,1129424,1175389,1221490
4390840,4474690,0,0,0,0,0
1331475,1327439,1322696,1317997,1314545,1315407,1316481
87702670,90046756,92444183,94887724,97366774,99873033,102403196
336151479,335425831,336167296,337296873,338429646,339519210,340894606
889016221,891094964,894666669,898855113,903094668,907424836,911995305
403470694,405521953,407706585,410126644,412510951,414975737,417424643
441513488,443585208,445769749,448166840,450522686,452962149,455372659
504421131,504012082,505104334,506592457,508157247,509703315,511497415
48550,48608,48666,48747,48842,48965,49117
859950,867086,873596,879715,885806,892149,898760
5363352,5388272,5413971,5438972,5461512,5479531,5495096
431281485,441690669,452264840,463028496,473980767,485147350,496575241
65027512,65342776,65659790,65998570,66331957,66624068,66896109
267820,269843,271703,273528,275484,277690,280208
1640210,1697101,1756817,1817271,1875713,1930175,1979786
1692149,1746363,1802125,1859324,1917852,1977590,2038501
3926000,3875000,3825000,3776000,3727000,3717100,3719300
81776930,80274983,80425823,80645605,80982500,81686611,82667685
24512104,25121796,25733049,26346251,26962563,27582821,28206728
33189,33405,33623,33831,34038,34228,34408
11121341,11104899,11045011,10965211,10892413,10820883,10746740
56905,56890,56810,56483,56295,56114,56186
104677,105075,105481,105909,106360,106823,107317
159444,159678,159973,160375,160967,161797,162896
14630417,14948919,15271056,15596214,15923559,16252429,16582469
10794170,11035170,11281469,11536615,11805509,12091533,12395924
1555880,1596154,1638139,1681495,1725744,1770526,1815698
746556,749100,753091,758081,763393,768514,773303
9999617,10145054,10289210,10431776,10572466,10711061,10847334
630127436,648053253,666488623,685401960,704745420,724482652,744602976
1149511694,1154998991,1161900127,1168843771,1175966521,1182929820,1190029421
8194778,8351600,8505646,8657785,8809216,8960829,9112867
7024200,7071600,7154600,7187500,7241700,7305700,7346700
10000023,9971727,9920362,9893082,9866468,9843028,9817958
318041,319014,320716,323764,327386,330815,334252
1230980691,1247236029,1263065852,1278562207,1293859294,1309053980,1324171354
242524123,245707511,248883232,252032263,255131116,258162113,261115456
74567511,75491582,76453574,77435384,78411092,79360487,80277428
30762701,31727053,32776571,33883145,35006080,36115649,37202572
4560155,4576794,4586897,4598294,4617225,4676835,4773095
80072,80759,81406,82013,82590,83167,83737
7623600,7765800,7910500,8059500,8215700,8380100,8547100
59277417,59379449,59539717,60233948,60789140,60730582,60600590
2817210,2829493,2840992,2851807,2862087,2871934,2881355
128070000,127833000,127629000,127445000,127276000,127141000,126994511
7182390,7574943,7992573,8413464,8809306,9159302,9455802
